,Event,Round,Result,Opponent ELO
0,Airthings Masters KO,1.11,1.0,2702
1,Airthings Masters KO,1.12,0.5,2702
2,Airthings Masters KO,1.13,0.0,2702
3,Airthings Masters KO,1.14,0.5,2702
4,Airthings Masters KO,1.21,0.0,2702
5,Airthings Masters KO,1.22,0.5,2702
6,Airthings Masters KO,1.23,0.0,2702
7,Airthings Masters Prelim,1,0.5,2781
8,Airthings Masters Prelim,10,1.0,2736
9,Airthings Masters Prelim,11,0.5,2784
10,Airthings Masters Prelim,2,0.5,2770
11,Airthings Masters Prelim,3,0.5,2765
12,Airthings Masters Prelim,4,0.5,2732
13,Airthings Masters Prelim,5,1.0,2702
14,Airthings Masters Prelim,6,0.5,2675
15,Airthings Masters Prelim,7,0.5,2784
16,Airthings Masters Prelim,8,0.5,2764
17,Airthings Masters Prelim,9,0.5,2777
18,Carlsen Inv Final 4,1.1,0.5,2791
19,Carlsen Inv Final 4,1.2,0.0,2791
20,Carlsen Inv Final 4,1.3,1.0,2791
21,Carlsen Inv Final 4,1.4,1.0,2791
22,Carlsen Inv Final 4,2.1,1.0,2736
23,Carlsen Inv Final 4,2.2,0.0,2736
24,Carlsen Inv Final 4,2.3,1.0,2736
25,Carlsen Inv Final 4,2.4,0.5,2736
26,Carlsen Inv KO,1.11,1.0,2781
27,Carlsen Inv KO,1.12,1.0,2781
28,Carlsen Inv KO,1.13,0.5,2781
29,Carlsen Inv KO,1.21,1.0,2781
30,Carlsen Inv KO,1.22,0.5,2781
31,Carlsen Inv KO,1.23,0.5,2781
32,Carlsen Inv KO,2.11,0.5,2789
33,Carlsen Inv KO,2.12,0.5,2789
34,Carlsen Inv KO,2.13,0.0,2789
35,Carlsen Inv KO,2.14,0.5,2789
36,Carlsen Inv KO,2.21,0.5,2789
37,Carlsen Inv KO,2.22,0.0,2789
38,Carlsen Inv KO,2.23,1.0,2789
39,Carlsen Inv KO,2.24,1.0,2789
40,Carlsen Inv KO,2.31,0.5,2789
41,Carlsen Inv KO,2.32,0.0,2789
42,Carlsen Inv KO,3.11,1.0,2770
43,Carlsen Inv KO,3.12,0.5,2770
44,Carlsen Inv KO,3.13,0.5,2770
45,Carlsen Inv KO,3.14,1.0,2770
46,Carlsen Inv KO,3.21,1.0,2770
47,Carlsen Inv KO,3.22,0.5,2770
48,Carlsen Inv KO,3.23,0.5,2770
49,Carlsen Inv Prelim,1,1.0,2701
50,Carlsen Inv Prelim,1.1,1.0,2736
51,Carlsen Inv Prelim,1.2,0.0,2736
52,Carlsen Inv Prelim,1.3,1.0,2736
53,Carlsen Inv Prelim,1.4,0.0,2736
54,Carlsen Inv Prelim,1.5,1.0,2736
55,Carlsen Inv Prelim,10,0.5,2765
56,Carlsen Inv Prelim,11,1.0,2630
57,Carlsen Inv Prelim,12,0.5,2770
58,Carlsen Inv Prelim,13,0.5,2781
59,Carlsen Inv Prelim,14,0.5,2710
60,Carlsen Inv Prelim,15,0.5,2736
61,Carlsen Inv Prelim,2,1.0,2758
62,Carlsen Inv Prelim,2.1,1.0,2728
63,Carlsen Inv Prelim,2.2,0.0,2728
64,Carlsen Inv Prelim,2.3,1.0,2728
65,Carlsen Inv Prelim,2.4,0.5,2728
66,Carlsen Inv Prelim,3,0.5,2759
67,Carlsen Inv Prelim,3.1,1.0,2835
68,Carlsen Inv Prelim,3.2,1.0,2835
69,Carlsen Inv Prelim,3.3,0.5,2835
70,Carlsen Inv Prelim,3.4,0.5,2835
71,Carlsen Inv Prelim,4,0.0,2776
72,Carlsen Inv Prelim,4.1,0.5,2778
73,Carlsen Inv Prelim,4.2,0.5,2778
74,Carlsen Inv Prelim,4.3,1.0,2778
75,Carlsen Inv Prelim,4.4,0.5,2778
76,Carlsen Inv Prelim,5,1.0,2673
77,Carlsen Inv Prelim,5.1,0.5,2764
78,Carlsen Inv Prelim,5.2,0.0,2764
79,Carlsen Inv Prelim,5.3,0.5,2764
80,Carlsen Inv Prelim,5.4,0.5,2764
81,Carlsen Inv Prelim,6,0.5,2670
82,Carlsen Inv Prelim,6.1,0.0,2784
83,Carlsen Inv Prelim,6.2,0.5,2784
84,Carlsen Inv Prelim,6.3,1.0,2784
85,Carlsen Inv Prelim,6.4,0.5,2784
86,Carlsen Inv Prelim,6.5,1.0,2784
87,Carlsen Inv Prelim,7,1.0,2770
88,Carlsen Inv Prelim,7.1,0.0,2791
89,Carlsen Inv Prelim,7.2,1.0,2791
90,Carlsen Inv Prelim,7.3,0.0,2791
91,Carlsen Inv Prelim,7.4,0.0,2791
92,Carlsen Inv Prelim,8,1.0,2789
93,Carlsen Inv Prelim,9,1.0,2757
94,Carlsen Tour Final,1.11,0.0,2791
95,Carlsen Tour Final,1.12,1.0,2791
96,Carlsen Tour Final,1.13,0.5,2791
97,Carlsen Tour Final,1.14,0.5,2791
98,Carlsen Tour Final,1.15,0.0,2791
99,Carlsen Tour Final,1.16,1.0,2791
100,Carlsen Tour Final,1.17,0.5,2791
101,Carlsen Tour Final,1.21,1.0,2791
102,Carlsen Tour Final,1.22,1.0,2791
103,Carlsen Tour Final,1.23,0.5,2791
104,Carlsen Tour Final,1.31,0.5,2791
105,Carlsen Tour Final,1.32,1.0,2791
106,Carlsen Tour Final,1.33,1.0,2791
107,Carlsen Tour Final,1.41,1.0,2791
108,Carlsen Tour Final,1.42,0.0,2791
109,Carlsen Tour Final,1.43,0.5,2791
110,Carlsen Tour Final,1.44,0.5,2791
111,Carlsen Tour Final,1.45,0.5,2791
112,Carlsen Tour Final,1.46,1.0,2791
113,Carlsen Tour Final,2.11,0.5,2736
114,Carlsen Tour Final,2.12,0.0,2736
115,Carlsen Tour Final,2.13,0.5,2736
116,Carlsen Tour Final,2.14,0.5,2736
117,Carlsen Tour Final,2.21,0.0,2736
118,Carlsen Tour Final,2.23,1.0,2736
119,Carlsen Tour Final,2.24,0.5,2736
120,Carlsen Tour Final,2.25,0.5,2736
121,Carlsen Tour Final,2.26,1.0,2736
122,Carlsen Tour Final,2.31,1.0,2736
123,Carlsen Tour Final,2.33,0.0,2736
124,Carlsen Tour Final,2.34,0.5,2736
125,Carlsen Tour Final,2.35,0.0,2736
126,Carlsen Tour Final,2.36,0.5,2736
127,Carlsen Tour Final,2.41,0.5,2736
128,Carlsen Tour Final,2.42,0.5,2736
129,Carlsen Tour Final,2.43,1.0,2736
130,Carlsen Tour Final,2.44,0.5,2736
131,Carlsen Tour Final,2.51,0.5,2736
132,Carlsen Tour Final,2.52,0.5,2736
133,Carlsen Tour Final,2.53,0.5,2736
134,Carlsen Tour Final,2.54,0.5,2736
135,Carlsen Tour Final,2.55,1.0,2736
136,Carlsen Tour Final,2.56,0.0,2736
137,Carlsen Tour Final,2.57,0.0,2736
138,Carlsen Tour Final,2.61,1.0,2736
139,Carlsen Tour Final,2.62,0.5,2736
140,Carlsen Tour Final,2.63,0.5,2736
141,Carlsen Tour Final,2.64,1.0,2736
142,Carlsen Tour Final,2.71,1.0,2736
143,Carlsen Tour Final,2.72,0.5,2736
144,Carlsen Tour Final,2.73,0.0,2736
145,Carlsen Tour Final,2.74,0.5,2736
146,Carlsen Tour Final,2.75,0.0,2736
147,Carlsen Tour Final,2.76,1.0,2736
148,Carlsen Tour Final,2.77,0.5,2736
149,Carlsen-Challengers simul,1.11,1.0,2476
150,Carlsen-Challengers simul,1.12,1.0,2550
151,Carlsen-Challengers simul,1.13,1.0,2478
152,Carlsen-Challengers simul,1.15,0.5,2591
153,Carlsen-Challengers simul,1.19,0.0,2592
154,Carlsen-Challengers simul,1.2,1.0,2608
155,Carlsen-Challengers simul,1.20,1.0,2535
156,Carlsen-Challengers simul,1.21,1.0,2625
157,Carlsen-Challengers simul,1.22,1.0,2501
158,Carlsen-Challengers simul,1.4,1.0,2549
159,Carlsen-Challengers simul,1.5,1.0,2578
160,Carlsen-Challengers simul,1.6,1.0,2505
161,Carlsen-Challengers simul,1.7,0.0,2620
162,Carlsen-Challengers simul,1.9,1.0,2494
163,Carlsen-Tang Bullet,1,1.0,2538
164,Carlsen-Tang Bullet,10,0.5,2538
165,Carlsen-Tang Bullet,11,0.0,2538
166,Carlsen-Tang Bullet,12,0.5,2538
167,Carlsen-Tang Bullet,13,1.0,2538
168,Carlsen-Tang Bullet,14,0.0,2538
169,Carlsen-Tang Bullet,15,1.0,2538
170,Carlsen-Tang Bullet,16,0.0,2538
171,Carlsen-Tang Bullet,17,1.0,2538
172,Carlsen-Tang Bullet,18,1.0,2538
173,Carlsen-Tang Bullet,19,0.0,2538
174,Carlsen-Tang Bullet,2,1.0,2538
175,Carlsen-Tang Bullet,20,1.0,2538
176,Carlsen-Tang Bullet,21,1.0,2538
177,Carlsen-Tang Bullet,22,0.5,2538
178,Carlsen-Tang Bullet,23,0.0,2538
179,Carlsen-Tang Bullet,24,0.5,2538
180,Carlsen-Tang Bullet,25,1.0,2538
181,Carlsen-Tang Bullet,26,0.0,2538
182,Carlsen-Tang Bullet,27,1.0,2538
183,Carlsen-Tang Bullet,28,1.0,2538
