Event,Round,Result,OpponentELO,Date,r1,r2,previous
airthings masters ko,1.12,0.5,2702,2020-12-29,1,12,1.0
airthings masters ko,1.13,0.0,2702,2020-12-29,1,13,0.5
airthings masters ko,1.14,0.5,2702,2020-12-29,1,14,0.0
airthings masters ko,1.21,0.0,2702,2020-12-30,1,21,0.5
airthings masters ko,1.22,0.5,2702,2020-12-30,1,22,0.0
airthings masters ko,1.23,0.0,2702,2020-12-30,1,23,0.5
airthings masters prelim,2,0.5,2770,2020-12-26,2,0,0.5
airthings masters prelim,3,0.5,2765,2020-12-26,3,0,0.5
airthings masters prelim,4,0.5,2732,2020-12-26,4,0,0.5
airthings masters prelim,5,1.0,2702,2020-12-27,5,0,0.5
airthings masters prelim,6,0.5,2675,2020-12-27,6,0,1.0
airthings masters prelim,7,0.5,2784,2020-12-27,7,0,0.5
airthings masters prelim,8,0.5,2764,2020-12-27,8,0,0.5
airthings masters prelim,9,0.5,2777,2020-12-28,9,0,0.5
airthings masters prelim,10,1.0,2736,2020-12-28,10,0,0.5
airthings masters prelim,11,0.5,2784,2020-12-28,11,0,1.0
carlsen inv final 4,1.2,0.0,2791,2020-05-02,1,2,0.5
carlsen inv final 4,1.3,1.0,2791,2020-05-02,1,3,0.0
carlsen inv final 4,1.4,1.0,2791,2020-05-02,1,4,1.0
carlsen inv final 4,2.1,1.0,2736,2020-05-03,2,1,1.0
carlsen inv final 4,2.2,0.0,2736,2020-05-03,2,2,1.0
carlsen inv final 4,2.3,1.0,2736,2020-05-03,2,3,0.0
carlsen inv final 4,2.4,0.5,2736,2020-05-03,2,4,1.0
carlsen inv ko,1.12,1.0,2781,2021-03-16,1,12,1.0
carlsen inv ko,1.13,0.5,2781,2021-03-16,1,13,1.0
carlsen inv ko,1.21,1.0,2781,2021-03-17,1,21,0.5
carlsen inv ko,1.22,0.5,2781,2021-03-17,1,22,1.0
carlsen inv ko,1.23,0.5,2781,2021-03-17,1,23,0.5
carlsen inv ko,2.11,0.5,2789,2021-03-18,2,11,0.5
carlsen inv ko,2.12,0.5,2789,2021-03-18,2,12,0.5
carlsen inv ko,2.13,0.0,2789,2021-03-18,2,13,0.5
carlsen inv ko,2.14,0.5,2789,2021-03-18,2,14,0.0
carlsen inv ko,2.21,0.5,2789,2021-03-19,2,21,0.5
carlsen inv ko,2.22,0.0,2789,2021-03-19,2,22,0.5
carlsen inv ko,2.23,1.0,2789,2021-03-19,2,23,0.0
carlsen inv ko,2.24,1.0,2789,2021-03-19,2,24,1.0
carlsen inv ko,2.31,0.5,2789,2021-03-19,2,31,1.0
carlsen inv ko,2.32,0.0,2789,2021-03-19,2,32,0.5
carlsen inv ko,3.11,1.0,2770,2021-03-20,3,11,0.0
carlsen inv ko,3.12,0.5,2770,2021-03-20,3,12,1.0
carlsen inv ko,3.13,0.5,2770,2021-03-20,3,13,0.5
carlsen inv ko,3.14,1.0,2770,2021-03-20,3,14,0.5
carlsen inv ko,3.21,1.0,2770,2021-03-21,3,21,1.0
carlsen inv ko,3.22,0.5,2770,2021-03-21,3,22,1.0
carlsen inv ko,3.23,0.5,2770,2021-03-21,3,23,0.5
carlsen inv prelim,1.1,1.0,2736,2020-04-18,1,1,1.0
carlsen inv prelim,1.2,0.0,2736,2020-04-18,1,2,1.0
carlsen inv prelim,1.3,1.0,2736,2020-04-18,1,3,0.0
carlsen inv prelim,1.4,0.0,2736,2020-04-18,1,4,1.0
carlsen inv prelim,1.5,1.0,2736,2020-04-18,1,5,0.0
carlsen inv prelim,2,1.0,2758,2021-03-13,2,0,1.0
carlsen inv prelim,2.1,1.0,2728,2020-04-20,2,1,1.0
carlsen inv prelim,2.2,0.0,2728,2020-04-20,2,2,1.0
carlsen inv prelim,2.3,1.0,2728,2020-04-20,2,3,0.0
carlsen inv prelim,2.4,0.5,2728,2020-04-20,2,4,1.0
carlsen inv prelim,3,0.5,2759,2021-03-13,3,0,0.5
carlsen inv prelim,3.1,1.0,2835,2020-04-22,3,1,0.5
carlsen inv prelim,3.2,1.0,2835,2020-04-22,3,2,1.0
carlsen inv prelim,3.3,0.5,2835,2020-04-22,3,3,1.0
carlsen inv prelim,3.4,0.5,2835,2020-04-22,3,4,0.5
carlsen inv prelim,4,0.0,2776,2021-03-13,4,0,0.5
carlsen inv prelim,4.1,0.5,2778,2020-04-24,4,1,0.0
carlsen inv prelim,4.2,0.5,2778,2020-04-24,4,2,0.5
carlsen inv prelim,4.3,1.0,2778,2020-04-24,4,3,0.5
carlsen inv prelim,4.4,0.5,2778,2020-04-24,4,4,1.0
carlsen inv prelim,5,1.0,2673,2021-03-13,5,0,0.5
carlsen inv prelim,5.1,0.5,2764,2020-04-26,5,1,1.0
carlsen inv prelim,5.2,0.0,2764,2020-04-26,5,2,0.5
